GPStime,peakFreq,snr,amplitude,centralFreq,duration,bandwidth,chisq,chisqDof,confidence,id,ifo,label,imgUrl,Q-value
1252629739.398,30.734,14050.2,1.73e-19,3980.241,8.25,7940.48291,0.0,0.0,1.0,xg6I5indL7,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/MxdjDeJ9w0/xg6I5indL7.png,11.314
1242889305.152,39.789,12802.31,1.0199999999999998e-19,3980.241,10.669,7940.48291,0.0,0.0,1.0,puprGzhePt,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/h8lpwJ4Jf4/puprGzhePt.png,11.314
1243171636.988,39.789,12470.565,1.0299999999999999e-19,3980.241,7.875,7940.48291,0.0,0.0,1.0,wVuUvshkGV,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/8AAjTYkYGq/wVuUvshkGV.png,11.314
1241942320.324,39.789,10580.012,8.609999999999998e-20,3980.241,9.073,7940.48291,0.0,0.0,1.0,UR5QrA8PQs,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/af4ttprjSf/UR5QrA8PQs.png,11.314
1240748213.465,39.789,10457.896,1.0299999999999999e-19,3980.241,8.5,7940.48291,0.0,0.0,1.0,nKTwtpEv3b,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/xo08Ir38aX/nKTwtpEv3b.png,11.314
1249824129.949,32.173,10224.335,1.15e-19,3980.241,9.634,7940.48291,0.0,0.0,1.0,pNG1dCZ748,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/SDfQ7t0xTd/pNG1dCZ748.png,11.314
1240652776.941,38.027,10054.199,8.31e-20,3977.241,15.5,7946.48291,0.0,0.0,1.0,cs74oudKxh,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/oI1VFmC52M/cs74oudKxh.png,11.314
1252035447.289,27.308000000000003,9529.169,1.41e-19,3980.241,11.0,7940.48291,0.0,0.0,1.0,Nuxhhj9g3o,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/KYZnMuUchN/Nuxhhj9g3o.png,11.314
1253366001.426,32.173,9483.953,1.21e-19,3980.241,9.75,7940.48291,0.0,0.0,1.0,vvsiJOwk6h,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/lGQtaWnSUW/vvsiJOwk6h.png,11.314
1244672025.363,32.173,8533.942,1.0199999999999998e-19,3980.241,8.5,7940.48291,0.0,0.0,1.0,qqtkbkSfPp,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/MhIHYxCo3o/qqtkbkSfPp.png,11.314
1246680165.885,779.059,8404.84,4.13e-20,3980.241,6.9060000000000015,7940.48291,0.0,0.0,1.0,FGjqcKzGck,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/riuY0ohXUM/FGjqcKzGck.png,11.314
1246525368.52,32.173,8169.406,9.28e-20,3980.241,9.0,7940.48291,0.0,0.0,1.0,XpLXZfsQuT,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/NlwV7TTBit/XpLXZfsQuT.png,11.314
1253242893.918,32.173,7911.42,8.69e-20,3980.241,8.329,7940.48291,0.0,0.0,1.0,oSghac8Bx8,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/ZwpdPAyIid/oSghac8Bx8.png,11.314
